file_id,id,time,jd,mjd,ra_hours,dec_degs,x,y,telescope,filter,exp_length,mag,mag_error,zero_point,flux,flux_error,pm_sky,pm_epoch,pm_pos_angle_sky,zero_point_correction,zero_point_error,calibrated_zero_point,calibrated_mag
397,SRC0,52:15.0,2460012.87,60012.36962,10.29883419,-46.35738016,804.9128627,122.7927573,Prompt5,V,80,14.22249101,0.016987336,20,16371.69263,258.1644442,,12:35.0,,,,,
397,SRC1,52:15.0,2460012.87,60012.36962,10.29834526,-46.34589515,775.9033465,53.18378738,Prompt5,V,80,13.68111583,0.011179215,20,26955.26809,278.9770047,,12:35.0,,,,,
398,SRC0,00:43.0,2460013,60012.5005,10.29878619,-46.35713859,801.9575549,121.2809926,PROMPT-MO-1,V,84.1,14.37261451,0.01177338,20,14988.22461,163.4119587,,12:35.0,,,,,
398,SRC1,00:43.0,2460013,60012.5005,10.29829128,-46.34565706,772.5744195,51.68563431,PROMPT-MO-1,V,84.1,13.59596775,0.007293281,20,30648.47672,206.5698871,,12:35.0,,,,,
399,SRC0,07:05.0,2460013.047,60012.54659,10.29878629,-46.35711731,801.9661275,121.1532672,PROMPT-MO-1,V,84.1,14.41119904,0.013957435,20,14464.93139,187.1510012,,12:35.0,,,,,
399,SRC1,07:05.0,2460013.047,60012.54659,10.29829352,-46.34566381,772.7130876,51.7289848,PROMPT-MO-1,V,84.1,13.57783132,0.007924241,20,31164.73721,228.2877717,,12:35.0,,,,,
400,SRC0,17:32.0,2460013.096,60012.59551,10.29878841,-46.35712447,802.096954,121.1989351,PROMPT-MO-1,V,84.1,14.40796743,0.014240431,20,14508.04929,191.5397958,,12:35.0,,,,,
400,SRC1,17:32.0,2460013.096,60012.59551,10.29829508,-46.34569565,772.8062165,51.92222224,PROMPT-MO-1,V,84.1,13.57978123,0.008054795,20,31108.81763,231.6464437,,12:35.0,,,,,
401,SRC0,38:00.0,2460013.193,60012.69306,10.29878734,-46.3572116,802.0200858,121.721044,PROMPT-MO-1,V,84.1,13.69905246,0.008826851,20,27872.44135,227.5218122,,12:35.0,,,,,
401,SRC1,38:00.0,2460013.193,60012.69306,10.29829186,-46.34575003,772.5993142,52.24485551,PROMPT-MO-1,V,84.1,13.68131929,0.008753408,20,28331.4159,229.3363871,,12:35.0,,,,,
352,SRC0,02:23.0,2460010.293,60009.79332,10.29879006,-46.35716609,802.194585,121.451039,PROMPT-MO-1,V,84.1,14.57986529,0.018786601,20,12383.6845,216.1406772,,12:35.0,,,,,
352,SRC1,02:23.0,2460010.293,60009.79332,10.29829305,-46.3456811,772.6813871,51.83227521,PROMPT-MO-1,V,84.1,13.70790351,0.009772573,20,27646.14565,249.9626887,,12:35.0,,,,,
353,SRC0,03:49.0,2460010.336,60009.83598,10.29878776,-46.35714412,802.0541914,121.3162028,PROMPT-MO-1,V,84.1,14.74504135,0.021370811,20,10636.02757,211.4254723,,12:35.0,,,,,
353,SRC1,03:49.0,2460010.336,60009.83598,10.29829306,-46.34567678,772.6824161,51.80632887,PROMPT-MO-1,V,84.1,13.80969639,0.010497346,20,25171.98356,244.5534446,,12:35.0,,,,,
354,SRC0,05:51.0,2460010.379,60009.87906,10.29879066,-46.3570514,802.2459533,120.762884,PROMPT-MO-1,V,84.1,14.22745965,0.014103601,20,17132.16055,223.9966957,,12:35.0,,,,,
354,SRC1,05:51.0,2460010.379,60009.87906,10.29829814,-46.34556261,773.0124259,51.12685805,PROMPT-MO-1,V,84.1,13.98071057,0.011756701,20,21503.62947,234.113463,,12:35.0,,,,,
355,SRC0,11:55.0,2460010.508,60010.00828,10.29882879,-46.35738753,804.576285,122.8302435,Prompt5,V,80,13.67056024,0.010918761,20,27218.60675,275.1062788,,12:35.0,,,,,
355,SRC1,11:55.0,2460010.508,60010.00828,10.29834023,-46.34590552,775.5891801,53.2397677,Prompt5,V,80,13.53318385,0.009884911,20,30889.89616,282.5162022,,12:35.0,,,,,
356,SRC0,15:38.0,2460010.553,60010.05252,10.29878185,-46.35712503,801.6892883,121.1940251,Prompt5,V,80,13.86136036,0.012598189,20,22832.09929,266.4720791,,12:35.0,,,,,
356,SRC1,15:38.0,2460010.553,60010.05252,10.29828892,-46.34566026,772.4271279,51.7018733,Prompt5,V,80,13.53222432,0.00987298,20,30917.20741,282.4231538,,12:35.0,,,,,
357,SRC0,19:05.0,2460010.597,60010.09659,10.29882922,-46.3574251,804.5981948,123.0564406,Prompt5,V,80,14.00471592,0.014190229,20,20007.99725,263.2145124,,12:35.0,,,,,
357,SRC1,19:05.0,2460010.597,60010.09659,10.29833959,-46.34594759,775.5442432,53.49167168,Prompt5,V,80,13.53526987,0.009941599,20,30830.60437,283.5984043,,12:35.0,,,,,
358,SRC0,21:47.0,2460010.64,60010.14013,10.29882971,-46.35743709,804.6274702,123.1291385,Prompt5,V,80,14.08078752,0.015142686,20,18654.12912,261.990557,,12:35.0,,,,,
358,SRC1,21:47.0,2460010.64,60010.14013,10.29834041,-46.34595042,775.5944984,53.50966671,Prompt5,V,80,13.46016958,0.009456497,20,33038.63955,289.0152842,,12:35.0,,,,,
359,SRC0,24:23.0,2460010.684,60010.1836,10.29882943,-46.3574181,804.6120038,123.0147015,Prompt5,V,80,14.17191137,0.016441439,20,17152.42144,261.7178699,,12:35.0,,,,,
359,SRC1,24:23.0,2460010.684,60010.1836,10.29834036,-46.34593073,775.5941411,53.3913457,Prompt5,V,80,13.45614036,0.009492062,20,33161.47535,291.1855816,,12:35.0,,,,,
360,SRC0,25:05.0,2460010.726,60010.22575,10.2988307,-46.35741198,804.6919035,122.9794986,Prompt5,V,80,14.16399656,0.016406937,20,17277.91618,263.075301,,12:35.0,,,,,
360,SRC1,25:05.0,2460010.726,60010.22575,10.29834114,-46.34592242,775.6435703,53.3423926,Prompt5,V,80,13.43011159,0.009340541,20,33966.07384,293.4691741,,12:35.0,,,,,
361,SRC0,25:49.0,2460010.768,60010.26793,10.29883108,-46.35741282,804.7154253,122.985072,Prompt5,V,80,14.22010663,0.017441349,20,16407.6859,265.7027325,,12:35.0,,,,,
361,SRC1,25:49.0,2460010.768,60010.26793,10.29834173,-46.34592882,775.679476,53.38157797,Prompt5,V,80,13.46551848,0.009724123,20,32876.27417,295.7705884,,12:35.0,,,,,
362,SRC0,26:21.0,2460010.81,60010.30997,10.29882969,-46.3574002,804.6303588,122.9074819,Prompt5,V,80,14.31306722,0.01921243,20,15061.3222,268.8866436,,12:35.0,,,,,
362,SRC1,26:21.0,2460010.81,60010.30997,10.29834143,-46.34590729,775.6630832,53.25187558,Prompt5,V,80,13.51802947,0.010289495,20,31324.07096,298.268557,,12:35.0,,,,,
